,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
2020-01-04 00:00:00,1.0,-7.347880794884119e-16,-0.900968867902419,0.43388373911755823,0.9986685673999032,0.05158577795696159,723.844,695.993,675.832,666.297,669.017,683.19,716.348,730.02,746.609,769.266,792.853,812.715,822.464,834.56,829.689,848.011,919.575,988.311,981.841,958.435,922.253,868.122,808.474,747.284,706.544,685.217,674.731,679.131,700.902,753.991,852.976,911.839,935.224,939.811,937.395,919.021,905.53,892.063,890.097,915.247,971.851,1024.745,1018.038,988.101,944.277,884.589,818.708,744.04,695.785,671.622,655.014,655.184,667.243,714.054,802.552,861.656,894.623,914.22,928.806,922.448,913.542,913.09,912.966,910.905,947.986,981.802,964.115,933.585,893.952,851.853,794.797,730.726
2020-01-04 01:00:00,0.965925826289069,0.258819045102518,-0.9165622558699762,0.3998920243197409,0.9986313348234075,0.05230159757425591,695.993,675.832,666.297,669.017,683.19,716.348,730.02,746.609,769.266,792.853,812.715,822.464,834.56,829.689,848.011,919.575,988.311,981.841,958.435,922.253,868.122,808.474,747.284,706.544,685.217,674.731,679.131,700.902,753.991,852.976,911.839,935.224,939.811,937.395,919.021,905.53,892.063,890.097,915.247,971.851,1024.745,1018.038,988.101,944.277,884.589,818.708,744.04,695.785,671.622,655.014,655.184,667.243,714.054,802.552,861.656,894.623,914.22,928.806,922.448,913.542,913.09,912.966,910.905,947.986,981.802,964.115,933.585,893.952,851.853,794.797,730.726,680.638
2020-01-04 02:00:00,0.8660254037844393,0.49999999999999883,-0.9308737486442044,0.3653410243663948,0.9985935891661207,0.05301739031982679,675.832,666.297,669.017,683.19,716.348,730.02,746.609,769.266,792.853,812.715,822.464,834.56,829.689,848.011,919.575,988.311,981.841,958.435,922.253,868.122,808.474,747.284,706.544,685.217,674.731,679.131,700.902,753.991,852.976,911.839,935.224,939.811,937.395,919.021,905.53,892.063,890.097,915.247,971.851,1024.745,1018.038,988.101,944.277,884.589,818.708,744.04,695.785,671.622,655.014,655.184,667.243,714.054,802.552,861.656,894.623,914.22,928.806,922.448,913.542,913.09,912.966,910.905,947.986,981.802,964.115,933.585,893.952,851.853,794.797,730.726,680.638,651.26
2020-01-04 03:00:00,0.7071067811865499,0.7071067811865451,-0.9438833303083676,0.3302790619551672,0.9985553304474362,0.053733155825911365,666.297,669.017,683.19,716.348,730.02,746.609,769.266,792.853,812.715,822.464,834.56,829.689,848.011,919.575,988.311,981.841,958.435,922.253,868.122,808.474,747.284,706.544,685.217,674.731,679.131,700.902,753.991,852.976,911.839,935.224,939.811,937.395,919.021,905.53,892.063,890.097,915.247,971.851,1024.745,1018.038,988.101,944.277,884.589,818.708,744.04,695.785,671.622,655.014,655.184,667.243,714.054,802.552,861.656,894.623,914.22,928.806,922.448,913.542,913.09,912.966,910.905,947.986,981.802,964.115,933.585,893.952,851.853,794.797,730.726,680.638,651.26,634.271
2020-01-04 04:00:00,0.5000000000000017,0.8660254037844377,-0.9555728057861408,0.2947551744109042,0.9985165586870103,0.05444889372476079,669.017,683.19,716.348,730.02,746.609,769.266,792.853,812.715,822.464,834.56,829.689,848.011,919.575,988.311,981.841,958.435,922.253,868.122,808.474,747.284,706.544,685.217,674.731,679.131,700.902,753.991,852.976,911.839,935.224,939.811,937.395,919.021,905.53,892.063,890.097,915.247,971.851,1024.745,1018.038,988.101,944.277,884.589,818.708,744.04,695.785,671.622,655.014,655.184,667.243,714.054,802.552,861.656,894.623,914.22,928.806,922.448,913.542,913.09,912.966,910.905,947.986,981.802,964.115,933.585,893.952,851.853,794.797,730.726,680.638,651.26,634.271,626.577
2020-01-04 05:00:00,0.25881904510252124,0.9659258262890682,-0.9659258262890683,0.2588190451025206,0.9984772739047636,0.055164603648640384,683.19,716.348,730.02,746.609,769.266,792.853,812.715,822.464,834.56,829.689,848.011,919.575,988.311,981.841,958.435,922.253,868.122,808.474,747.284,706.544,685.217,674.731,679.131,700.902,753.991,852.976,911.839,935.224,939.811,937.395,919.021,905.53,892.063,890.097,915.247,971.851,1024.745,1018.038,988.101,944.277,884.589,818.708,744.04,695.785,671.622,655.014,655.184,667.243,714.054,802.552,861.656,894.623,914.22,928.806,922.448,913.542,913.09,912.966,910.905,947.986,981.802,964.115,933.585,893.952,851.853,794.797,730.726,680.638,651.26,634.271,626.577,630.939
2020-01-04 06:00:00,2.57237725884603e-15,1.0,-0.9749279121818236,0.2225209339563145,0.9984374761208801,0.055880285229829844,716.348,730.02,746.609,769.266,792.853,812.715,822.464,834.56,829.689,848.011,919.575,988.311,981.841,958.435,922.253,868.122,808.474,747.284,706.544,685.217,674.731,679.131,700.902,753.991,852.976,911.839,935.224,939.811,937.395,919.021,905.53,892.063,890.097,915.247,971.851,1024.745,1018.038,988.101,944.277,884.589,818.708,744.04,695.785,671.622,655.014,655.184,667.243,714.054,802.552,861.656,894.623,914.22,928.806,922.448,913.542,913.09,912.966,910.905,947.986,981.802,964.115,933.585,893.952,851.853,794.797,730.726,680.638,651.26,634.271,626.577,630.939,648.424
2020-01-04 07:00:00,-0.2588190451025197,0.9659258262890685,-0.9825664732332883,0.18591160716291455,0.9983971653558069,0.05659593810062344,730.02,746.609,769.266,792.853,812.715,822.464,834.56,829.689,848.011,919.575,988.311,981.841,958.435,922.253,868.122,808.474,747.284,706.544,685.217,674.731,679.131,700.902,753.991,852.976,911.839,935.224,939.811,937.395,919.021,905.53,892.063,890.097,915.247,971.851,1024.745,1018.038,988.101,944.277,884.589,818.708,744.04,695.785,671.622,655.014,655.184,667.243,714.054,802.552,861.656,894.623,914.22,928.806,922.448,913.542,913.09,912.966,910.905,947.986,981.802,964.115,933.585,893.952,851.853,794.797,730.726,680.638,651.26,634.271,626.577,630.939,648.424,688.295
2020-01-04 08:00:00,-0.4999999999999972,0.8660254037844403,-0.9888308262251285,0.14904226617617428,0.9983563416302553,0.057311561893330185,746.609,769.266,792.853,812.715,822.464,834.56,829.689,848.011,919.575,988.311,981.841,958.435,922.253,868.122,808.474,747.284,706.544,685.217,674.731,679.131,700.902,753.991,852.976,911.839,935.224,939.811,937.395,919.021,905.53,892.063,890.097,915.247,971.851,1024.745,1018.038,988.101,944.277,884.589,818.708,744.04,695.785,671.622,655.014,655.184,667.243,714.054,802.552,861.656,894.623,914.22,928.806,922.448,913.542,913.09,912.966,910.905,947.986,981.802,964.115,933.585,893.952,851.853,794.797,730.726,680.638,651.26,634.271,626.577,630.939,648.424,688.295,728.357
2020-01-04 09:00:00,-0.7071067811865464,0.7071067811865488,-0.9937122098932426,0.11196447610330798,0.9983150049651998,0.05802715624027403,769.266,792.853,812.715,822.464,834.56,829.689,848.011,919.575,988.311,981.841,958.435,922.253,868.122,808.474,747.284,706.544,685.217,674.731,679.131,700.902,753.991,852.976,911.839,935.224,939.811,937.395,919.021,905.53,892.063,890.097,915.247,971.851,1024.745,1018.038,988.101,944.277,884.589,818.708,744.04,695.785,671.622,655.014,655.184,667.243,714.054,802.552,861.656,894.623,914.22,928.806,922.448,913.542,913.09,912.966,910.905,947.986,981.802,964.115,933.585,893.952,851.853,794.797,730.726,680.638,651.26,634.271,626.577,630.939,648.424,688.295,728.357,772.486
