,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
2022-01-04 00:00:00,1.0,-8.192666122989216e-13,0.623489801858769,-0.7818314824680015,0.9981671552095267,0.060517189796954446,694.571,664.468,640.349,619.917,619.888,634.953,653.053,678.119,701.036,749.623,794.678,827.32,843.213,854.211,851.922,837.365,883.256,919.441,902.246,873.549,837.1,798.059,750.008,693.995,651.939,622.4,607.614,600.894,614.859,614.445,636.858,669.078,715.094,761.315,798.711,819.285,832.315,851.755,856.34,854.231,909.948,948.994,941.561,911.873,879.214,832.572,781.006,722.247,699.886,673.13,660.903,664.432,678.242,741.803,818.947,884.297,929.914,964.456,998.809,1020.03,1030.139,1038.878,1041.058,1037.494,1094.915,1134.809,1121.299,1088.628,1044.086,985.493,916.516,859.474
2022-01-04 01:00:00,0.965925826289234,0.2588190451019024,0.6522874112781257,-0.757971723145449,0.9981235208399483,0.06123264771398868,664.468,640.349,619.917,619.888,634.953,653.053,678.119,701.036,749.623,794.678,827.32,843.213,854.211,851.922,837.365,883.256,919.441,902.246,873.549,837.1,798.059,750.008,693.995,651.939,622.4,607.614,600.894,614.859,614.445,636.858,669.078,715.094,761.315,798.711,819.285,832.315,851.755,856.34,854.231,909.948,948.994,941.561,911.873,879.214,832.572,781.006,722.247,699.886,673.13,660.903,664.432,678.242,741.803,818.947,884.297,929.914,964.456,998.809,1020.03,1030.139,1038.878,1041.058,1037.494,1094.915,1134.809,1121.299,1088.628,1044.086,985.493,916.516,859.474,816.179
2022-01-04 02:00:00,0.8660254037846692,0.4999999999996007,0.6801727377708949,-0.733051871829849,0.9980793736504854,0.06194807417066891,640.349,619.917,619.888,634.953,653.053,678.119,701.036,749.623,794.678,827.32,843.213,854.211,851.922,837.365,883.256,919.441,902.246,873.549,837.1,798.059,750.008,693.995,651.939,622.4,607.614,600.894,614.859,614.445,636.858,669.078,715.094,761.315,798.711,819.285,832.315,851.755,856.34,854.231,909.948,948.994,941.561,911.873,879.214,832.572,781.006,722.247,699.886,673.13,660.903,664.432,678.242,741.803,818.947,884.297,929.914,964.456,998.809,1020.03,1030.139,1038.878,1041.058,1037.494,1094.915,1134.809,1121.299,1088.628,1044.086,985.493,916.516,859.474,816.179,793.728
2022-01-04 03:00:00,0.7071067811867469,0.7071067811863482,0.7071067811865764,-0.7071067811865186,0.9980347136638205,0.06266346879942046,619.917,619.888,634.953,653.053,678.119,701.036,749.623,794.678,827.32,843.213,854.211,851.922,837.365,883.256,919.441,902.246,873.549,837.1,798.059,750.008,693.995,651.939,622.4,607.614,600.894,614.859,614.445,636.858,669.078,715.094,761.315,798.711,819.285,832.315,851.755,856.34,854.231,909.948,948.994,941.561,911.873,879.214,832.572,781.006,722.247,699.886,673.13,660.903,664.432,678.242,741.803,818.947,884.297,929.914,964.456,998.809,1020.03,1030.139,1038.878,1041.058,1037.494,1094.915,1134.809,1121.299,1088.628,1044.086,985.493,916.516,859.474,816.179,793.728,791.055
2022-01-04 04:00:00,0.500000000000089,0.8660254037843872,0.7330518718298273,-0.6801727377709182,0.9979895409028988,0.06337883123268502,619.888,634.953,653.053,678.119,701.036,749.623,794.678,827.32,843.213,854.211,851.922,837.365,883.256,919.441,902.246,873.549,837.1,798.059,750.008,693.995,651.939,622.4,607.614,600.894,614.859,614.445,636.858,669.078,715.094,761.315,798.711,819.285,832.315,851.755,856.34,854.231,909.948,948.994,941.561,911.873,879.214,832.572,781.006,722.247,699.886,673.13,660.903,664.432,678.242,741.803,818.947,884.297,929.914,964.456,998.809,1020.03,1030.139,1038.878,1041.058,1037.494,1094.915,1134.809,1121.299,1088.628,1044.086,985.493,916.516,859.474,816.179,793.728,791.055,793.271
2022-01-04 05:00:00,0.2588190451033256,0.9659258262888526,0.7579717231454283,-0.6522874112781498,0.9979438553909297,0.06409416110292085,634.953,653.053,678.119,701.036,749.623,794.678,827.32,843.213,854.211,851.922,837.365,883.256,919.441,902.246,873.549,837.1,798.059,750.008,693.995,651.939,622.4,607.614,600.894,614.859,614.445,636.858,669.078,715.094,761.315,798.711,819.285,832.315,851.755,856.34,854.231,909.948,948.994,941.561,911.873,879.214,832.572,781.006,722.247,699.886,673.13,660.903,664.432,678.242,741.803,818.947,884.297,929.914,964.456,998.809,1020.03,1030.139,1038.878,1041.058,1037.494,1094.915,1134.809,1121.299,1088.628,1044.086,985.493,916.516,859.474,816.179,793.728,791.055,793.271,817.435
2022-01-04 06:00:00,6.541266585746557e-13,1.0,0.7818314824680526,-0.623489801858705,0.9978976571513853,0.06480945804260467,653.053,678.119,701.036,749.623,794.678,827.32,843.213,854.211,851.922,837.365,883.256,919.441,902.246,873.549,837.1,798.059,750.008,693.995,651.939,622.4,607.614,600.894,614.859,614.445,636.858,669.078,715.094,761.315,798.711,819.285,832.315,851.755,856.34,854.231,909.948,948.994,941.561,911.873,879.214,832.572,781.006,722.247,699.886,673.13,660.903,664.432,678.242,741.803,818.947,884.297,929.914,964.456,998.809,1020.03,1030.139,1038.878,1041.058,1037.494,1094.915,1134.809,1121.299,1088.628,1044.086,985.493,916.516,859.474,816.179,793.728,791.055,793.271,817.435,858.406
2022-01-04 07:00:00,-0.25881904510206194,0.9659258262891912,0.8045977797666666,-0.5938201855735039,0.997850946208002,0.06552472168422481,678.119,701.036,749.623,794.678,827.32,843.213,854.211,851.922,837.365,883.256,919.441,902.246,873.549,837.1,798.059,750.008,693.995,651.939,622.4,607.614,600.894,614.859,614.445,636.858,669.078,715.094,761.315,798.711,819.285,832.315,851.755,856.34,854.231,909.948,948.994,941.561,911.873,879.214,832.572,781.006,722.247,699.886,673.13,660.903,664.432,678.242,741.803,818.947,884.297,929.914,964.456,998.809,1020.03,1030.139,1038.878,1041.058,1037.494,1094.915,1134.809,1121.299,1088.628,1044.086,985.493,916.516,859.474,816.179,793.728,791.055,793.271,817.435,858.406,953.641
2022-01-04 08:00:00,-0.49999999999974376,0.8660254037845866,0.8262387743160351,-0.563320058063563,0.9978037225847788,0.06623995166029206,701.036,749.623,794.678,827.32,843.213,854.211,851.922,837.365,883.256,919.441,902.246,873.549,837.1,798.059,750.008,693.995,651.939,622.4,607.614,600.894,614.859,614.445,636.858,669.078,715.094,761.315,798.711,819.285,832.315,851.755,856.34,854.231,909.948,948.994,941.561,911.873,879.214,832.572,781.006,722.247,699.886,673.13,660.903,664.432,678.242,741.803,818.947,884.297,929.914,964.456,998.809,1020.03,1030.139,1038.878,1041.058,1037.494,1094.915,1134.809,1121.299,1088.628,1044.086,985.493,916.516,859.474,816.179,793.728,791.055,793.271,817.435,858.406,953.641,1008.366
2022-01-04 09:00:00,-0.707106781186465,0.7071067811866302,0.8467241992283012,-0.5320320765153095,0.9977559863059785,0.0669551476033327,749.623,794.678,827.32,843.213,854.211,851.922,837.365,883.256,919.441,902.246,873.549,837.1,798.059,750.008,693.995,651.939,622.4,607.614,600.894,614.859,614.445,636.858,669.078,715.094,761.315,798.711,819.285,832.315,851.755,856.34,854.231,909.948,948.994,941.561,911.873,879.214,832.572,781.006,722.247,699.886,673.13,660.903,664.432,678.242,741.803,818.947,884.297,929.914,964.456,998.809,1020.03,1030.139,1038.878,1041.058,1037.494,1094.915,1134.809,1121.299,1088.628,1044.086,985.493,916.516,859.474,816.179,793.728,791.055,793.271,817.435,858.406,953.641,1008.366,1030.7
