,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2020-01-04 00:00:00,680.638,651.26,634.271,626.577,630.939,648.424,688.295,728.357,772.486,821.501,860.452,882.7,891.792,880.474,876.305,872.32,913.059,944.219,927.772,894.856,864.747,822.07,786.282,731.098
2020-01-04 01:00:00,651.26,634.271,626.577,630.939,648.424,688.295,728.357,772.486,821.501,860.452,882.7,891.792,880.474,876.305,872.32,913.059,944.219,927.772,894.856,864.747,822.07,786.282,731.098,685.606
2020-01-04 02:00:00,634.271,626.577,630.939,648.424,688.295,728.357,772.486,821.501,860.452,882.7,891.792,880.474,876.305,872.32,913.059,944.219,927.772,894.856,864.747,822.07,786.282,731.098,685.606,660.085
2020-01-04 03:00:00,626.577,630.939,648.424,688.295,728.357,772.486,821.501,860.452,882.7,891.792,880.474,876.305,872.32,913.059,944.219,927.772,894.856,864.747,822.07,786.282,731.098,685.606,660.085,641.919
2020-01-04 04:00:00,630.939,648.424,688.295,728.357,772.486,821.501,860.452,882.7,891.792,880.474,876.305,872.32,913.059,944.219,927.772,894.856,864.747,822.07,786.282,731.098,685.606,660.085,641.919,636.398
2020-01-04 05:00:00,648.424,688.295,728.357,772.486,821.501,860.452,882.7,891.792,880.474,876.305,872.32,913.059,944.219,927.772,894.856,864.747,822.07,786.282,731.098,685.606,660.085,641.919,636.398,643.46
2020-01-04 06:00:00,688.295,728.357,772.486,821.501,860.452,882.7,891.792,880.474,876.305,872.32,913.059,944.219,927.772,894.856,864.747,822.07,786.282,731.098,685.606,660.085,641.919,636.398,643.46,658.883
2020-01-04 07:00:00,728.357,772.486,821.501,860.452,882.7,891.792,880.474,876.305,872.32,913.059,944.219,927.772,894.856,864.747,822.07,786.282,731.098,685.606,660.085,641.919,636.398,643.46,658.883,692.005
2020-01-04 08:00:00,772.486,821.501,860.452,882.7,891.792,880.474,876.305,872.32,913.059,944.219,927.772,894.856,864.747,822.07,786.282,731.098,685.606,660.085,641.919,636.398,643.46,658.883,692.005,720.287
2020-01-04 09:00:00,821.501,860.452,882.7,891.792,880.474,876.305,872.32,913.059,944.219,927.772,894.856,864.747,822.07,786.282,731.098,685.606,660.085,641.919,636.398,643.46,658.883,692.005,720.287,756.103
2020-01-04 10:00:00,860.452,882.7,891.792,880.474,876.305,872.32,913.059,944.219,927.772,894.856,864.747,822.07,786.282,731.098,685.606,660.085,641.919,636.398,643.46,658.883,692.005,720.287,756.103,798.901
2020-01-04 11:00:00,882.7,891.792,880.474,876.305,872.32,913.059,944.219,927.772,894.856,864.747,822.07,786.282,731.098,685.606,660.085,641.919,636.398,643.46,658.883,692.005,720.287,756.103,798.901,832.924
2020-01-04 12:00:00,891.792,880.474,876.305,872.32,913.059,944.219,927.772,894.856,864.747,822.07,786.282,731.098,685.606,660.085,641.919,636.398,643.46,658.883,692.005,720.287,756.103,798.901,832.924,839.837
2020-01-04 13:00:00,880.474,876.305,872.32,913.059,944.219,927.772,894.856,864.747,822.07,786.282,731.098,685.606,660.085,641.919,636.398,643.46,658.883,692.005,720.287,756.103,798.901,832.924,839.837,855.153
2020-01-04 14:00:00,876.305,872.32,913.059,944.219,927.772,894.856,864.747,822.07,786.282,731.098,685.606,660.085,641.919,636.398,643.46,658.883,692.005,720.287,756.103,798.901,832.924,839.837,855.153,859.621
2020-01-04 15:00:00,872.32,913.059,944.219,927.772,894.856,864.747,822.07,786.282,731.098,685.606,660.085,641.919,636.398,643.46,658.883,692.005,720.287,756.103,798.901,832.924,839.837,855.153,859.621,851.281
2020-01-04 16:00:00,913.059,944.219,927.772,894.856,864.747,822.07,786.282,731.098,685.606,660.085,641.919,636.398,643.46,658.883,692.005,720.287,756.103,798.901,832.924,839.837,855.153,859.621,851.281,866.504
2020-01-04 17:00:00,944.219,927.772,894.856,864.747,822.07,786.282,731.098,685.606,660.085,641.919,636.398,643.46,658.883,692.005,720.287,756.103,798.901,832.924,839.837,855.153,859.621,851.281,866.504,936.066
2020-01-04 18:00:00,927.772,894.856,864.747,822.07,786.282,731.098,685.606,660.085,641.919,636.398,643.46,658.883,692.005,720.287,756.103,798.901,832.924,839.837,855.153,859.621,851.281,866.504,936.066,1004.489
2020-01-04 19:00:00,894.856,864.747,822.07,786.282,731.098,685.606,660.085,641.919,636.398,643.46,658.883,692.005,720.287,756.103,798.901,832.924,839.837,855.153,859.621,851.281,866.504,936.066,1004.489,1000.684
2020-01-04 20:00:00,864.747,822.07,786.282,731.098,685.606,660.085,641.919,636.398,643.46,658.883,692.005,720.287,756.103,798.901,832.924,839.837,855.153,859.621,851.281,866.504,936.066,1004.489,1000.684,976.251
2020-01-04 21:00:00,822.07,786.282,731.098,685.606,660.085,641.919,636.398,643.46,658.883,692.005,720.287,756.103,798.901,832.924,839.837,855.153,859.621,851.281,866.504,936.066,1004.489,1000.684,976.251,936.312
2020-01-04 22:00:00,786.282,731.098,685.606,660.085,641.919,636.398,643.46,658.883,692.005,720.287,756.103,798.901,832.924,839.837,855.153,859.621,851.281,866.504,936.066,1004.489,1000.684,976.251,936.312,882.684
2020-01-04 23:00:00,731.098,685.606,660.085,641.919,636.398,643.46,658.883,692.005,720.287,756.103,798.901,832.924,839.837,855.153,859.621,851.281,866.504,936.066,1004.489,1000.684,976.251,936.312,882.684,823.255
2020-01-05 00:00:00,685.606,660.085,641.919,636.398,643.46,658.883,692.005,720.287,756.103,798.901,832.924,839.837,855.153,859.621,851.281,866.504,936.066,1004.489,1000.684,976.251,936.312,882.684,823.255,762.78
2020-01-05 01:00:00,660.085,641.919,636.398,643.46,658.883,692.005,720.287,756.103,798.901,832.924,839.837,855.153,859.621,851.281,866.504,936.066,1004.489,1000.684,976.251,936.312,882.684,823.255,762.78,724.832
2020-01-05 02:00:00,641.919,636.398,643.46,658.883,692.005,720.287,756.103,798.901,832.924,839.837,855.153,859.621,851.281,866.504,936.066,1004.489,1000.684,976.251,936.312,882.684,823.255,762.78,724.832,701.274
2020-01-05 03:00:00,636.398,643.46,658.883,692.005,720.287,756.103,798.901,832.924,839.837,855.153,859.621,851.281,866.504,936.066,1004.489,1000.684,976.251,936.312,882.684,823.255,762.78,724.832,701.274,691.556
2020-01-05 04:00:00,643.46,658.883,692.005,720.287,756.103,798.901,832.924,839.837,855.153,859.621,851.281,866.504,936.066,1004.489,1000.684,976.251,936.312,882.684,823.255,762.78,724.832,701.274,691.556,693.758
2020-01-05 05:00:00,658.883,692.005,720.287,756.103,798.901,832.924,839.837,855.153,859.621,851.281,866.504,936.066,1004.489,1000.684,976.251,936.312,882.684,823.255,762.78,724.832,701.274,691.556,693.758,714.272
2020-01-05 06:00:00,692.005,720.287,756.103,798.901,832.924,839.837,855.153,859.621,851.281,866.504,936.066,1004.489,1000.684,976.251,936.312,882.684,823.255,762.78,724.832,701.274,691.556,693.758,714.272,774.908
2020-01-05 07:00:00,720.287,756.103,798.901,832.924,839.837,855.153,859.621,851.281,866.504,936.066,1004.489,1000.684,976.251,936.312,882.684,823.255,762.78,724.832,701.274,691.556,693.758,714.272,774.908,880.93
2020-01-05 08:00:00,756.103,798.901,832.924,839.837,855.153,859.621,851.281,866.504,936.066,1004.489,1000.684,976.251,936.312,882.684,823.255,762.78,724.832,701.274,691.556,693.758,714.272,774.908,880.93,948.503
2020-01-05 09:00:00,798.901,832.924,839.837,855.153,859.621,851.281,866.504,936.066,1004.489,1000.684,976.251,936.312,882.684,823.255,762.78,724.832,701.274,691.556,693.758,714.272,774.908,880.93,948.503,964.15
2020-01-05 10:00:00,832.924,839.837,855.153,859.621,851.281,866.504,936.066,1004.489,1000.684,976.251,936.312,882.684,823.255,762.78,724.832,701.274,691.556,693.758,714.272,774.908,880.93,948.503,964.15,975.196
2020-01-05 11:00:00,839.837,855.153,859.621,851.281,866.504,936.066,1004.489,1000.684,976.251,936.312,882.684,823.255,762.78,724.832,701.274,691.556,693.758,714.272,774.908,880.93,948.503,964.15,975.196,995.315
2020-01-05 12:00:00,855.153,859.621,851.281,866.504,936.066,1004.489,1000.684,976.251,936.312,882.684,823.255,762.78,724.832,701.274,691.556,693.758,714.272,774.908,880.93,948.503,964.15,975.196,995.315,1003.935
2020-01-05 13:00:00,859.621,851.281,866.504,936.066,1004.489,1000.684,976.251,936.312,882.684,823.255,762.78,724.832,701.274,691.556,693.758,714.272,774.908,880.93,948.503,964.15,975.196,995.315,1003.935,1000.535
2020-01-05 14:00:00,851.281,866.504,936.066,1004.489,1000.684,976.251,936.312,882.684,823.255,762.78,724.832,701.274,691.556,693.758,714.272,774.908,880.93,948.503,964.15,975.196,995.315,1003.935,1000.535,987.503
2020-01-05 15:00:00,866.504,936.066,1004.489,1000.684,976.251,936.312,882.684,823.255,762.78,724.832,701.274,691.556,693.758,714.272,774.908,880.93,948.503,964.15,975.196,995.315,1003.935,1000.535,987.503,968.408
2020-01-05 16:00:00,936.066,1004.489,1000.684,976.251,936.312,882.684,823.255,762.78,724.832,701.274,691.556,693.758,714.272,774.908,880.93,948.503,964.15,975.196,995.315,1003.935,1000.535,987.503,968.408,966.426
2020-01-05 17:00:00,1004.489,1000.684,976.251,936.312,882.684,823.255,762.78,724.832,701.274,691.556,693.758,714.272,774.908,880.93,948.503,964.15,975.196,995.315,1003.935,1000.535,987.503,968.408,966.426,1006.567
2020-01-05 18:00:00,1000.684,976.251,936.312,882.684,823.255,762.78,724.832,701.274,691.556,693.758,714.272,774.908,880.93,948.503,964.15,975.196,995.315,1003.935,1000.535,987.503,968.408,966.426,1006.567,1073.105
2020-01-05 19:00:00,976.251,936.312,882.684,823.255,762.78,724.832,701.274,691.556,693.758,714.272,774.908,880.93,948.503,964.15,975.196,995.315,1003.935,1000.535,987.503,968.408,966.426,1006.567,1073.105,1068.415
2020-01-05 20:00:00,936.312,882.684,823.255,762.78,724.832,701.274,691.556,693.758,714.272,774.908,880.93,948.503,964.15,975.196,995.315,1003.935,1000.535,987.503,968.408,966.426,1006.567,1073.105,1068.415,1041.027
2020-01-05 21:00:00,882.684,823.255,762.78,724.832,701.274,691.556,693.758,714.272,774.908,880.93,948.503,964.15,975.196,995.315,1003.935,1000.535,987.503,968.408,966.426,1006.567,1073.105,1068.415,1041.027,996.39
2020-01-05 22:00:00,823.255,762.78,724.832,701.274,691.556,693.758,714.272,774.908,880.93,948.503,964.15,975.196,995.315,1003.935,1000.535,987.503,968.408,966.426,1006.567,1073.105,1068.415,1041.027,996.39,934.488
2020-01-05 23:00:00,762.78,724.832,701.274,691.556,693.758,714.272,774.908,880.93,948.503,964.15,975.196,995.315,1003.935,1000.535,987.503,968.408,966.426,1006.567,1073.105,1068.415,1041.027,996.39,934.488,862.378
2020-01-06 00:00:00,724.832,701.274,691.556,693.758,714.272,774.908,880.93,948.503,964.15,975.196,995.315,1003.935,1000.535,987.503,968.408,966.426,1006.567,1073.105,1068.415,1041.027,996.39,934.488,862.378,793.757
2020-01-06 01:00:00,701.274,691.556,693.758,714.272,774.908,880.93,948.503,964.15,975.196,995.315,1003.935,1000.535,987.503,968.408,966.426,1006.567,1073.105,1068.415,1041.027,996.39,934.488,862.378,793.757,748.431
2020-01-06 02:00:00,691.556,693.758,714.272,774.908,880.93,948.503,964.15,975.196,995.315,1003.935,1000.535,987.503,968.408,966.426,1006.567,1073.105,1068.415,1041.027,996.39,934.488,862.378,793.757,748.431,721.682
2020-01-06 03:00:00,693.758,714.272,774.908,880.93,948.503,964.15,975.196,995.315,1003.935,1000.535,987.503,968.408,966.426,1006.567,1073.105,1068.415,1041.027,996.39,934.488,862.378,793.757,748.431,721.682,709.76
2020-01-06 04:00:00,714.272,774.908,880.93,948.503,964.15,975.196,995.315,1003.935,1000.535,987.503,968.408,966.426,1006.567,1073.105,1068.415,1041.027,996.39,934.488,862.378,793.757,748.431,721.682,709.76,710.218
2020-01-06 05:00:00,774.908,880.93,948.503,964.15,975.196,995.315,1003.935,1000.535,987.503,968.408,966.426,1006.567,1073.105,1068.415,1041.027,996.39,934.488,862.378,793.757,748.431,721.682,709.76,710.218,724.694
2020-01-06 06:00:00,880.93,948.503,964.15,975.196,995.315,1003.935,1000.535,987.503,968.408,966.426,1006.567,1073.105,1068.415,1041.027,996.39,934.488,862.378,793.757,748.431,721.682,709.76,710.218,724.694,785.076
