,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2022-01-04 00:00:00,816.179,793.728,791.055,793.271,817.435,858.406,953.641,1008.366,1030.7,1022.888,1010.771,1000.058,979.261,970.503,969.325,989.425,1061.315,1124.017,1113.991,1086.021,1038.831,981.106,908.667,838.116
2022-01-04 01:00:00,793.728,791.055,793.271,817.435,858.406,953.641,1008.366,1030.7,1022.888,1010.771,1000.058,979.261,970.503,969.325,989.425,1061.315,1124.017,1113.991,1086.021,1038.831,981.106,908.667,838.116,795.009
2022-01-04 02:00:00,791.055,793.271,817.435,858.406,953.641,1008.366,1030.7,1022.888,1010.771,1000.058,979.261,970.503,969.325,989.425,1061.315,1124.017,1113.991,1086.021,1038.831,981.106,908.667,838.116,795.009,774.229
2022-01-04 03:00:00,793.271,817.435,858.406,953.641,1008.366,1030.7,1022.888,1010.771,1000.058,979.261,970.503,969.325,989.425,1061.315,1124.017,1113.991,1086.021,1038.831,981.106,908.667,838.116,795.009,774.229,759.853
2022-01-04 04:00:00,817.435,858.406,953.641,1008.366,1030.7,1022.888,1010.771,1000.058,979.261,970.503,969.325,989.425,1061.315,1124.017,1113.991,1086.021,1038.831,981.106,908.667,838.116,795.009,774.229,759.853,758.108
2022-01-04 05:00:00,858.406,953.641,1008.366,1030.7,1022.888,1010.771,1000.058,979.261,970.503,969.325,989.425,1061.315,1124.017,1113.991,1086.021,1038.831,981.106,908.667,838.116,795.009,774.229,759.853,758.108,772.879
2022-01-04 06:00:00,953.641,1008.366,1030.7,1022.888,1010.771,1000.058,979.261,970.503,969.325,989.425,1061.315,1124.017,1113.991,1086.021,1038.831,981.106,908.667,838.116,795.009,774.229,759.853,758.108,772.879,814.083
2022-01-04 07:00:00,1008.366,1030.7,1022.888,1010.771,1000.058,979.261,970.503,969.325,989.425,1061.315,1124.017,1113.991,1086.021,1038.831,981.106,908.667,838.116,795.009,774.229,759.853,758.108,772.879,814.083,880.191
2022-01-04 08:00:00,1030.7,1022.888,1010.771,1000.058,979.261,970.503,969.325,989.425,1061.315,1124.017,1113.991,1086.021,1038.831,981.106,908.667,838.116,795.009,774.229,759.853,758.108,772.879,814.083,880.191,929.093
2022-01-04 09:00:00,1022.888,1010.771,1000.058,979.261,970.503,969.325,989.425,1061.315,1124.017,1113.991,1086.021,1038.831,981.106,908.667,838.116,795.009,774.229,759.853,758.108,772.879,814.083,880.191,929.093,946.556
2022-01-04 10:00:00,1010.771,1000.058,979.261,970.503,969.325,989.425,1061.315,1124.017,1113.991,1086.021,1038.831,981.106,908.667,838.116,795.009,774.229,759.853,758.108,772.879,814.083,880.191,929.093,946.556,957.059
2022-01-04 11:00:00,1000.058,979.261,970.503,969.325,989.425,1061.315,1124.017,1113.991,1086.021,1038.831,981.106,908.667,838.116,795.009,774.229,759.853,758.108,772.879,814.083,880.191,929.093,946.556,957.059,974.663
2022-01-04 12:00:00,979.261,970.503,969.325,989.425,1061.315,1124.017,1113.991,1086.021,1038.831,981.106,908.667,838.116,795.009,774.229,759.853,758.108,772.879,814.083,880.191,929.093,946.556,957.059,974.663,981.191
2022-01-04 13:00:00,970.503,969.325,989.425,1061.315,1124.017,1113.991,1086.021,1038.831,981.106,908.667,838.116,795.009,774.229,759.853,758.108,772.879,814.083,880.191,929.093,946.556,957.059,974.663,981.191,973.516
2022-01-04 14:00:00,969.325,989.425,1061.315,1124.017,1113.991,1086.021,1038.831,981.106,908.667,838.116,795.009,774.229,759.853,758.108,772.879,814.083,880.191,929.093,946.556,957.059,974.663,981.191,973.516,967.72
2022-01-04 15:00:00,989.425,1061.315,1124.017,1113.991,1086.021,1038.831,981.106,908.667,838.116,795.009,774.229,759.853,758.108,772.879,814.083,880.191,929.093,946.556,957.059,974.663,981.191,973.516,967.72,957.242
2022-01-04 16:00:00,1061.315,1124.017,1113.991,1086.021,1038.831,981.106,908.667,838.116,795.009,774.229,759.853,758.108,772.879,814.083,880.191,929.093,946.556,957.059,974.663,981.191,973.516,967.72,957.242,955.004
2022-01-04 17:00:00,1124.017,1113.991,1086.021,1038.831,981.106,908.667,838.116,795.009,774.229,759.853,758.108,772.879,814.083,880.191,929.093,946.556,957.059,974.663,981.191,973.516,967.72,957.242,955.004,1001.585
2022-01-04 18:00:00,1113.991,1086.021,1038.831,981.106,908.667,838.116,795.009,774.229,759.853,758.108,772.879,814.083,880.191,929.093,946.556,957.059,974.663,981.191,973.516,967.72,957.242,955.004,1001.585,1034.131
