,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2022-01-04 00:00:00,815.64197,776.4084,754.20197,751.2804,768.4182,803.2539,850.1743,899.95685,943.70105,975.4513,994.2141,1002.18115,1003.70215,1003.06836,1005.12866,1013.0556,1027.3807,1043.6226,1053.8158,1049.543,1026.4214,985.89514,933.5709,877.30475
2022-01-04 01:00:00,791.8634,768.9606,764.17786,777.55005,807.2378,848.95166,896.16,940.5265,975.3694,997.736,1008.4109,1011.2907,1011.843,1014.07263,1020.47876,1031.018,1042.5801,1048.6821,1042.763,1020.86774,983.31995,934.8426,882.70703,834.23157
2022-01-04 02:00:00,781.319,780.6415,796.3792,825.86633,864.4315,906.2838,945.37134,976.6266,997.5732,1009.5266,1015.15607,1018.4139,1023.64404,1032.3125,1042.9633,1051.1451,1051.0444,1037.4237,1008.71124,967.286,918.3446,868.7044,825.4044,793.4403
2022-01-04 03:00:00,801.7796,823.0831,856.5121,897.20514,938.6633,974.87195,1001.6367,1017.7129,1024.6418,1027.6667,1030.755,1036.5906,1046.4613,1057.8562,1065.4672,1062.6318,1044.3696,1009.71277,962.63525,910.1563,860.20593,819.60754,793.494,783.59973
2022-01-04 04:00:00,828.7407,868.3197,913.5265,957.6569,994.98865,1022.302,1038.7903,1046.6375,1049.7234,1053.9636,1062.6362,1075.4614,1088.1372,1093.1753,1084.6588,1060.0769,1020.0425,967.99524,910.2475,854.80054,809.82275,781.3506,772.8805,783.6883
2022-01-04 05:00:00,864.6487,908.2742,952.6272,991.149,1019.8513,1037.925,1046.8151,1050.3898,1053.005,1059.761,1072.5735,1088.9998,1101.6755,1101.1128,1082.5597,1046.895,998.23596,942.46643,886.22424,836.4237,799.92487,781.63525,783.91974,804.6727
2022-01-04 06:00:00,917.2959,964.31604,1004.3919,1032.9427,1049.4082,1056.3489,1058.519,1061.6038,1069.1841,1082.8701,1100.037,1114.1632,1116.0894,1098.376,1060.8228,1008.87,950.07007,892.10046,841.43884,803.74475,783.98474,784.8551,806.125,842.8922
2022-01-04 07:00:00,985.55615,1026.1299,1055.0596,1071.3441,1077.9819,1079.8445,1082.1998,1088.9067,1099.7299,1111.1497,1116.9344,1110.9166,1088.5043,1048.6738,996.17194,938.47107,883.29407,837.35913,806.07996,792.71606,798.83923,823.00586,861.5218,907.31116
2022-01-04 08:00:00,1030.1018,1061.2625,1079.5677,1086.7771,1087.7935,1087.5764,1089.8833,1096.3491,1103.9651,1106.5927,1097.8197,1073.8647,1034.4777,983.239,927.6858,875.4619,832.84204,804.48865,793.7654,801.3466,826.3075,864.62085,910.5408,956.454
2022-01-04 09:00:00,1058.7712,1079.2493,1089.5759,1093.2781,1095.0347,1097.9131,1102.5607,1107.4971,1107.793,1097.4136,1072.495,1033.1455,982.8905,927.6089,875.49243,833.6308,806.7977,797.49524,806.4055,831.1979,868.48254,912.76306,957.81757,997.0145
2022-01-04 10:00:00,1057.061,1066.9326,1071.6125,1075.8357,1082.8936,1092.5547,1101.2704,1103.3987,1093.331,1067.7202,1026.9352,975.1634,918.89014,864.9225,820.7303,791.93726,782.0302,791.82837,819.5823,859.709,905.8417,951.04443,989.739,1017.8987
2022-01-04 11:00:00,1048.1348,1052.9933,1057.616,1065.1536,1076.0817,1087.324,1093.0227,1086.6481,1063.9531,1024.9935,973.5844,916.4171,861.4286,815.04553,783.09607,769.3466,775.6678,800.95337,841.34186,889.27576,937.01843,977.8086,1007.75366,1025.6724
2022-01-04 12:00:00,1044.3953,1047.6263,1053.5664,1063.0579,1073.9417,1081.3398,1078.9609,1061.821,1028.2843,981.241,926.3091,870.6979,822.3091,786.8069,768.403,768.99384,788.449,823.75635,869.6549,918.25085,962.20447,996.2495,1018.30927,1029.1698
2022-01-04 13:00:00,1040.0626,1046.0239,1056.4307,1068.3475,1076.2847,1074.2961,1057.561,1025.1497,979.604,927.0325,874.27606,827.71265,793.3761,774.9665,774.5559,791.8452,823.9861,865.5477,910.05725,951.03064,983.86597,1006.2565,1018.3961,1023.31104
2022-01-04 14:00:00,1048.0771,1061.1455,1076.0664,1085.7128,1082.4524,1062.1431,1024.3439,973.51245,916.40906,861.60645,815.81433,783.6671,768.57837,772.04504,793.2562,828.70325,872.365,916.48804,954.6623,983.3552,1001.7746,1011.4087,1015.92395,1020.03235
2022-01-04 15:00:00,1055.5378,1070.5972,1081.301,1079.477,1060.0071,1023.5122,973.9178,918.2012,863.69977,818.2606,787.28156,773.56116,777.99493,799.2124,833.7765,876.07935,919.24756,956.20386,982.6371,997.86743,1004.3417,1006.3932,1009.4231,1016.88257
2022-01-04 16:00:00,1066.3085,1075.5652,1073.3503,1054.7379,1019.1976,971.1124,916.8783,864.0441,818.95056,787.3795,772.844,776.5387,797.43146,831.47406,873.1216,915.7264,953.09955,980.6741,997.275,1004.6997,1007.1063,1009.26245,1015.6002,1026.8093
